timestamp,activeBucketColumn,imuqx,imuqy,imuqz,imuqw,liftValue,activation
2.474648,2,-0.748,-0.078,-0.373,0.542,49744,NONE
2.517324,2,-0.748,-0.075,-0.371,0.543,57693,NONE
2.559977,2,-0.749,-0.072,-0.367,0.545,42982,NONE
2.602653,2,-0.751,-0.072,-0.364,0.545,38149,HOLD
2.645329,2,-0.752,-0.072,-0.363,0.544,18445,HOLD
2.687982,2,-0.753,-0.075,-0.362,0.543,32871,HOLD
2.730658,2,-0.752,-0.07,-0.36,0.543,6024,NONE
2.773311,2,-0.752,-0.073,-0.362,0.544,9635,NONE
2.794648,2,-0.751,-0.074,-0.366,0.543,26170,NONE
2.837324,2,-0.749,-0.074,-0.371,0.543,2162,NONE
2.879977,2,-0.748,-0.075,-0.376,0.541,9745,NONE
2.922653,2,-0.747,-0.075,-0.377,0.541,434,NONE
3.647982,2,-0.741,-0.08,-0.367,0.555,62407,NONE
3.690658,2,-0.744,-0.053,-0.346,0.567,10300,NONE
3.733311,2,-0.747,-0.027,-0.326,0.578,258207,START
3.797324,2,-0.749,-0.001,-0.305,0.587,15973,HOLD
3.818662,2,-0.75,-0.001,-0.303,0.586,509,END
3.861315,2,-0.748,-0.006,-0.308,0.587,18432,NONE
3.903991,2,-0.748,-0.026,-0.325,0.563,13243,NONE
3.946644,2,-0.749,-0.024,-0.327,0.574,13840,NONE
3.967982,2,-0.749,-0.013,-0.321,0.578,6581,NONE
4.031995,2,-0.749,-0.011,-0.322,0.577,7547,NONE
4.053311,2,-0.75,-0.02,-0.331,0.572,3036,NONE
4.095986,2,-0.75,-0.036,-0.342,0.563,10168,NONE
4.842653,2,-0.75,-0.058,-0.347,0.558,106192,NONE
4.863991,2,-0.75,-0.058,-0.346,0.559,83792,NONE
4.927982,2,-0.752,-0.056,-0.342,0.559,92980,NONE
4.970658,2,-0.753,-0.058,-0.341,0.558,10820,NONE
5.01331,2,-0.754,-0.071,-0.352,0.548,591,NONE
5.034648,2,-0.752,-0.078,-0.353,0.549,2637,NONE
5.077324,2,-0.751,-0.074,-0.351,0.553,15070,NONE
5.119977,2,-0.751,-0.069,-0.351,0.554,10458,NONE
5.183991,2,-0.751,-0.061,-0.349,0.556,19091,NONE
5.951995,2,-0.751,-0.05,-0.339,0.563,28280,NONE
5.97331,2,-0.751,-0.05,-0.338,0.563,208585,START
6.015986,2,-0.752,-0.049,-0.337,0.563,208750,HOLD
6.058662,2,-0.753,-0.049,-0.335,0.562,66130,HOLD
6.101315,2,-0.756,-0.054,-0.336,0.559,30180,HOLD
6.143991,2,-0.756,-0.063,-0.339,0.555,18461,END
6.165329,2,-0.756,-0.065,-0.345,0.551,6519,NONE
6.207982,2,-0.752,-0.064,-0.343,0.558,6839,NONE
6.250658,2,-0.752,-0.066,-0.347,0.555,495,NONE
6.293311,2,-0.751,-0.057,-0.343,0.56,123,NONE
6.314649,2,-0.751,-0.052,-0.341,0.562,1665,NONE
6.357324,2,-0.751,-0.052,-0.343,0.561,5848,NONE
6.399977,2,-0.751,-0.053,-0.342,0.561,18165,NONE
7.167982,1,-0.754,-0.114,-0.377,0.524,72386,NONE
7.210658,1,-0.755,-0.117,-0.378,0.522,40401,NONE
7.253311,1,-0.755,-0.126,-0.382,0.517,48367,NONE
7.295986,1,-0.755,-0.129,-0.384,0.514,8826,NONE
7.338662,1,-0.754,-0.135,-0.388,0.51,7616,NONE
7.381315,1,-0.754,-0.125,-0.38,0.519,4780,NONE
7.423991,1,-0.754,-0.124,-0.38,0.519,14123,NONE
7.445329,1,-0.754,-0.116,-0.376,0.523,2653,NONE
7.487982,1,-0.754,-0.107,-0.373,0.527,23521,NONE
7.679977,2,-0.756,-0.068,-0.352,0.546,31619,NONE
7.722653,2,-0.757,-0.053,-0.328,0.551,2849,NONE
7.765329,2,-0.759,-0.042,-0.333,0.555,119922,NONE
7.807982,2,-0.759,-0.041,-0.332,0.557,110500,HOLD
7.850657,2,-0.763,-0.04,-0.325,0.556,55728,HOLD
7.893311,2,-0.781,-0.051,-0.329,0.551,8373,HOLD
7.935987,2,-0.764,-0.048,-0.332,0.549,13265,NONE
7.978662,2,-0.76,-0.048,-0.328,0.557,8418,NONE
8.021316,2,-0.761,-0.052,-0.333,0.553,46948,NONE
8.063991,2,-0.759,-0.038,-0.327,0.56,24080,NONE
8.106644,2,-0.759,-0.028,-0.323,0.563,6152,NONE
8.14932,2,-0.759,0.003,-0.304,0.571,3480,NONE
8.277325,3,-0.756,0.043,-0.28,0.589,279322,NONE
8.319978,3,-0.756,0.04,-0.282,0.588,99459,HOLD
8.362653,3,-0.758,0.032,-0.284,0.585,43523,HOLD
8.383991,3,-0.761,0.025,-0.284,0.581,3345,HOLD
8.426644,3,-0.763,0.016,-0.288,0.577,6309,END
8.469319,3,-0.764,0.017,-0.289,0.575,39992,NONE
8.533311,3,-0.76,0.019,-0.282,0.584,34740,NONE
8.554648,3,-0.761,0.015,-0.287,0.581,56977,NONE
8.597324,3,-0.759,0.024,-0.284,0.584,12029,NONE
8.639977,3,-0.758,0.026,-0.285,0.584,860,NONE
8.703991,3,-0.758,0.025,-0.288,0.584,6868,NONE
9.450658,3,-0.756,0.011,-0.294,0.583,10570,HOLD
9.493311,3,-0.757,0.011,-0.293,0.583,75110,HOLD
9.535986,3,-0.762,0.002,-0.293,0.576,29217,HOLD
9.578662,3,-0.766,-0.005,-0.295,0.57,10805,HOLD
9.621315,3,-0.763,0.004,-0.29,0.574,15678,END
9.663991,3,-0.76,0.008,-0.284,0.583,1720,NONE
9.685328,3,-0.761,-0.003,-0.295,0.576,14660,NONE
9.727982,3,-0.759,0.004,-0.295,0.579,9121,NONE
9.770658,3,-0.758,0.003,-0.299,0.579,6490,NONE
9.813311,3,-0.758,-0.011,-0.314,0.571,29862,NONE
9.855987,3,-0.758,-0.011,-0.315,0.569,5214,NONE
9.983991,2,-0.762,-0.034,-0.328,0.557,679,NONE
10.00533,2,-0.764,-0.031,-0.322,0.557,14085,NONE
10.04798,2,-0.766,-0.031,-0.319,0.555,14315,HOLD
10.09066,2,-0.769,-0.033,-0.316,0.553,2967,HOLD
10.13331,2,-0.772,-0.046,-0.32,0.546,6277,HOLD
10.17599,2,-0.774,-0.049,-0.324,0.54,33774,HOLD
10.23998,2,-0.771,-0.043,-0.317,0.549,6834,NONE
